test_quarter,tau,domain,method,bin,lo,hi,n,mean_p,mean_y
2024Q4,1w,Sports,venn_abers,6,0.31068427370948437,0.7894736842105263,3,0.5435827349412438,0.6666666666666666
2024Q4,1w,Sports,venn_abers,8,0.7894736842105263,0.8843359935431059,9,0.7996422384362322,0.7777777777777778
2024Q4,1w,Sports,venn_abers,9,0.8843359935431059,0.9814814814814815,4,0.9490028748449765,1.0
2025Q1,1w,Politics,raw,0,0.05,0.07,17,0.05470588235294119,0.058823529411764705
2025Q1,1w,Politics,raw,1,0.07,0.11,30,0.08366666666666664,0.16666666666666666
2025Q1,1w,Politics,raw,2,0.11,0.1960000000000001,26,0.15692307692307692,0.15384615384615385
2025Q1,1w,Politics,raw,3,0.1960000000000001,0.3,23,0.2365217391304348,0.34782608695652173
2025Q1,1w,Politics,raw,4,0.3,0.46,25,0.37079999999999996,0.48
2025Q1,1w,Politics,raw,5,0.46,0.63,21,0.5428571428571429,0.6666666666666666
2025Q1,1w,Politics,raw,6,0.63,0.7340000000000001,28,0.6685714285714284,0.6071428571428571
2025Q1,1w,Politics,raw,7,0.7340000000000001,0.8360000000000002,24,0.7795833333333334,0.6666666666666666
2025Q1,1w,Politics,raw,8,0.8360000000000002,0.92,23,0.8756521739130436,0.782608695652174
2025Q1,1w,Politics,raw,9,0.92,0.95,26,0.9357692307692307,0.6538461538461539
2025Q1,1w,Sports,raw,0,0.05,0.07,13,0.0553846153846154,0.0
2025Q1,1w,Sports,raw,1,0.07,0.09,16,0.07625000000000001,0.0
2025Q1,1w,Sports,raw,2,0.09,0.12,14,0.10000000000000002,0.07142857142857142
2025Q1,1w,Sports,raw,3,0.12,0.16,14,0.13357142857142862,0.07142857142857142
2025Q1,1w,Sports,raw,4,0.16,0.225,21,0.17761904761904762,0.0
2025Q1,1w,Sports,raw,5,0.225,0.36000000000000015,16,0.29625,0.25
2025Q1,1w,Sports,raw,6,0.36000000000000015,0.47,14,0.425,0.42857142857142855
2025Q1,1w,Sports,raw,7,0.47,0.58,16,0.5162500000000001,0.5625
2025Q1,1w,Sports,raw,8,0.58,0.715,16,0.650625,0.5
2025Q1,1w,Sports,raw,9,0.715,0.95,16,0.859375,1.0
2025Q1,1w,Politics,platt,0,0.03723058109795741,0.05443276629101762,17,0.041231190035212896,0.058823529411764705
2025Q1,1w,Politics,platt,1,0.05443276629101762,0.09085342110657747,30,0.06672240978005188,0.16666666666666666
2025Q1,1w,Politics,platt,2,0.09085342110657747,0.17540791030875352,26,0.13646273164870118,0.15384615384615385
2025Q1,1w,Politics,platt,3,0.17540791030875352,0.2848792268103097,23,0.21752542199333028,0.34782608695652173
2025Q1,1w,Politics,platt,4,0.2848792268103097,0.46097916413776474,25,0.3623497244617673,0.48
