method,fit_scope,domain,tau,alpha,metric,value,n_test
Conformal-marginal,per_domain,Politics,24h,0.1,avg_set_size,1.5121951219512195,1312
Conformal-marginal,per_domain,Politics,24h,0.05,coverage,0.9763719512195121,1312
Conformal-marginal,per_domain,Politics,24h,0.05,avg_set_size,1.6821646341463414,1312
Conformal-marginal,per_domain,Politics,24h,0.2,coverage,0.8315548780487805,1312
Conformal-marginal,per_domain,Politics,24h,0.2,avg_set_size,1.2538109756097562,1312
Conformal-mondrian,per_domain,Politics,24h,NA,brier,0.1801702743902439,1312
Conformal-mondrian,per_domain,Politics,24h,NA,log_loss,0.5299145561010813,1312
Conformal-mondrian,per_domain,Politics,24h,NA,ece,0.056890243902439006,1312
Conformal-mondrian,per_domain,Politics,24h,0.1,coverage,0.9352134146341463,1312
Conformal-mondrian,per_domain,Politics,24h,0.1,avg_set_size,1.5121951219512195,1312
Conformal-mondrian,per_domain,Politics,24h,0.05,coverage,0.9763719512195121,1312
Conformal-mondrian,per_domain,Politics,24h,0.05,avg_set_size,1.6821646341463414,1312
Conformal-mondrian,per_domain,Politics,24h,0.2,coverage,0.8315548780487805,1312
Conformal-mondrian,per_domain,Politics,24h,0.2,avg_set_size,1.2538109756097562,1312
Raw,per_domain,Finance,24h,NA,brier,0.1578256140350877,570
Raw,per_domain,Finance,24h,NA,log_loss,0.48315500821374346,570
Raw,per_domain,Finance,24h,NA,ece,0.03859649122807016,570
Platt,per_domain,Finance,24h,NA,brier,0.15794040103699103,570
Platt,per_domain,Finance,24h,NA,log_loss,0.4839555401051556,570
Platt,per_domain,Finance,24h,NA,ece,0.04218009460231872,570
Isotonic,per_domain,Finance,24h,NA,brier,0.16096902768406968,570
Isotonic,per_domain,Finance,24h,NA,log_loss,0.4905234563144002,570
Isotonic,per_domain,Finance,24h,NA,ece,0.03291552665123497,570
HistogramBinning,per_domain,Finance,24h,NA,brier,0.15749413976894064,570
HistogramBinning,per_domain,Finance,24h,NA,log_loss,0.48463290732153164,570
HistogramBinning,per_domain,Finance,24h,NA,ece,0.033064551802759676,570
VennAbers,per_domain,Finance,24h,NA,brier,0.16087847850774373,570
VennAbers,per_domain,Finance,24h,NA,log_loss,0.4902621032010166,570
VennAbers,per_domain,Finance,24h,NA,ece,0.032569589724932874,570
Conformal-marginal,per_domain,Finance,24h,NA,brier,0.1578256140350877,570
Conformal-marginal,per_domain,Finance,24h,NA,log_loss,0.48315500821374346,570
Conformal-marginal,per_domain,Finance,24h,NA,ece,0.03859649122807016,570
Conformal-marginal,per_domain,Finance,24h,0.1,coverage,0.9263157894736842,570
Conformal-marginal,per_domain,Finance,24h,0.1,avg_set_size,1.419298245614035,570
Conformal-marginal,per_domain,Finance,24h,0.05,coverage,0.9771929824561404,570
Conformal-marginal,per_domain,Finance,24h,0.05,avg_set_size,1.7263157894736842,570
Conformal-marginal,per_domain,Finance,24h,0.2,coverage,0.7333333333333333,570
Conformal-marginal,per_domain,Finance,24h,0.2,avg_set_size,0.9315789473684211,570
Conformal-mondrian,per_domain,Finance,24h,NA,brier,0.1578256140350877,570
Conformal-mondrian,per_domain,Finance,24h,NA,log_loss,0.48315500821374346,570
Conformal-mondrian,per_domain,Finance,24h,NA,ece,0.03859649122807016,570
