tau,domain,fit_scope,method,metric,value,raw_value,delta_vs_raw,n_test,n_quarters
1mo,Entertainment,per_domain,platt,log_loss,0.5030749468455427,0.4842150829986027,0.01885986384693994,268.0,2.0
1mo,Entertainment,per_domain,isotonic,log_loss,0.6106068034023596,0.4842150829986027,0.1263917204037569,268.0,2.0
1mo,Entertainment,per_domain,binning10,log_loss,0.5495640562053761,0.4842150829986027,0.06534897320677335,268.0,2.0
1mo,Entertainment,per_domain,venn_abers,log_loss,0.49386579774810424,0.4842150829986027,0.009650714749501521,268.0,2.0
1mo,Finance,per_domain,raw,brier,0.11059002932551315,0.11059002932551315,0.0,341.0,2.0
1mo,Finance,per_domain,platt,brier,0.10749559182867932,0.11059002932551315,-0.0030944374968338295,341.0,2.0
1mo,Finance,per_domain,isotonic,brier,0.11007603439711129,0.11059002932551315,-0.0005139949284018591,341.0,2.0
1mo,Finance,per_domain,binning10,brier,0.11202767244306577,0.11059002932551315,0.0014376431175526228,341.0,2.0
1mo,Finance,per_domain,venn_abers,brier,0.11102216025079059,0.11059002932551315,0.0004321309252774408,341.0,2.0
1mo,Finance,per_domain,raw,ece,0.11131964809384158,0.11131964809384158,0.0,341.0,2.0
1mo,Finance,per_domain,platt,ece,0.09003677149185871,0.11131964809384158,-0.021282876601982872,341.0,2.0
1mo,Finance,per_domain,isotonic,ece,0.08333236668339637,0.11131964809384158,-0.02798728141044521,341.0,2.0
1mo,Finance,per_domain,binning10,ece,0.09366022428663674,0.11131964809384158,-0.017659423807204838,341.0,2.0
1mo,Finance,per_domain,venn_abers,ece,0.09837211802971259,0.11131964809384158,-0.012947530064128993,341.0,2.0
1mo,Finance,per_domain,raw,log_loss,0.3646453885527843,0.3646453885527843,0.0,341.0,2.0
1mo,Finance,per_domain,platt,log_loss,0.3496268838507471,0.3646453885527843,-0.015018504702037194,341.0,2.0
1mo,Finance,per_domain,isotonic,log_loss,0.47519622457830296,0.3646453885527843,0.11055083602551868,341.0,2.0
1mo,Finance,per_domain,binning10,log_loss,0.4855990921498453,0.3646453885527843,0.12095370359706104,341.0,2.0
1mo,Finance,per_domain,venn_abers,log_loss,0.36432688273139163,0.3646453885527843,-0.00031850582139264505,341.0,2.0
1mo,Politics,per_domain,raw,brier,0.1364493392070484,0.1364493392070484,0.0,227.0,2.0
1mo,Politics,per_domain,platt,brier,0.13700035246545061,0.1364493392070484,0.0005510132584022054,227.0,2.0
1mo,Politics,per_domain,isotonic,brier,0.13936747409062317,0.1364493392070484,0.002918134883574758,227.0,2.0
1mo,Politics,per_domain,binning10,brier,0.1433164052169569,0.1364493392070484,0.006867066009908496,227.0,2.0
1mo,Politics,per_domain,venn_abers,brier,0.1396878469774238,0.1364493392070484,0.003238507770375404,227.0,2.0
1mo,Politics,per_domain,raw,ece,0.12149779735682814,0.12149779735682814,0.0,227.0,2.0
1mo,Politics,per_domain,platt,ece,0.1196748167736678,0.12149779735682814,-0.0018229805831603413,227.0,2.0
1mo,Politics,per_domain,isotonic,ece,0.08996469794663202,0.12149779735682814,-0.03153309941019612,227.0,2.0
1mo,Politics,per_domain,binning10,ece,0.12851825413726217,0.12149779735682814,0.007020456780434031,227.0,2.0
1mo,Politics,per_domain,venn_abers,ece,0.09880840162153691,0.12149779735682814,-0.022689395735291232,227.0,2.0
1mo,Politics,per_domain,raw,log_loss,0.4257502991489704,0.4257502991489704,0.0,227.0,2.0
1mo,Politics,per_domain,platt,log_loss,0.4275617237583955,0.4257502991489704,0.0018114246094251274,227.0,2.0
1mo,Politics,per_domain,isotonic,log_loss,0.4688263076226942,0.4257502991489704,0.04307600847372384,227.0,2.0
1mo,Politics,per_domain,binning10,log_loss,0.4856943705561951,0.4257502991489704,0.059944071407224686,227.0,2.0
1mo,Politics,per_domain,venn_abers,log_loss,0.4305840785663693,0.4257502991489704,0.004833779417398931,227.0,2.0
1mo,Sports,per_domain,raw,brier,0.16072887029288696,0.16072887029288696,0.0,239.0,1.0
1mo,Sports,per_domain,platt,brier,0.1618290615702506,0.16072887029288696,0.0011001912773636324,239.0,1.0
1mo,Sports,per_domain,isotonic,brier,0.1624845292643209,0.16072887029288696,0.0017556589714339266,239.0,1.0
1mo,Sports,per_domain,binning10,brier,0.1643724479936874,0.16072887029288696,0.0036435777008004266,239.0,1.0
1mo,Sports,per_domain,venn_abers,brier,0.1636680107180704,0.16072887029288696,0.0029391404251834508,239.0,1.0
1mo,Sports,per_domain,raw,ece,0.0548117154811715,0.0548117154811715,0.0,239.0,1.0
