domain,time_bin,size_bin,n_ours,slope_ours,slope_le,delta
Weather,0-1h,Medium,2933,0.785662505614135,0.7856625056141351,-1.1102230246251565e-16
Weather,0-1h,Large,1099,0.6643353968804798,0.6643353968804797,1.1102230246251565e-16
Weather,1-3h,Single,1781,0.9244535893705174,0.9244535893705174,0.0
Weather,1-3h,Small,5952,0.7090332152545433,0.7090332152545433,0.0
Weather,1-3h,Medium,9781,0.827731572072689,0.827731572072689,0.0
Weather,1-3h,Large,3051,0.8488033669094346,0.8488033669094345,1.1102230246251565e-16
Weather,3-6h,Single,4800,0.7400990447965689,0.7400990447965689,0.0
Weather,3-6h,Small,14178,0.81311194619266,0.8131119461926599,1.1102230246251565e-16
Weather,3-6h,Medium,22938,0.7365552917963726,0.7365552917963725,1.1102230246251565e-16
Weather,3-6h,Large,6640,0.7321532832835975,0.7321532832835974,1.1102230246251565e-16
Weather,6-12h,Single,130048,0.9210146832918343,0.9210146832918344,-1.1102230246251565e-16
Weather,6-12h,Small,393822,0.9102633228985002,0.9102633228985004,-2.220446049250313e-16
Weather,6-12h,Medium,583120,0.8799851137393769,0.8799851137393769,0.0
Weather,6-12h,Large,117105,0.8610239008398648,0.8610239008398647,1.1102230246251565e-16
Weather,12-24h,Single,189641,0.9912056239469247,0.9912056239469248,-1.1102230246251565e-16
Weather,12-24h,Small,496826,0.9351409724014405,0.9351409724014405,0.0
Weather,12-24h,Medium,664302,0.9061469175100968,0.9061469175100968,0.0
Weather,12-24h,Large,102362,0.9242191896813029,0.9242191896813028,1.1102230246251565e-16
Weather,24-48h,Single,111403,1.0669030995222861,1.066903099522286,2.220446049250313e-16
Weather,24-48h,Small,266657,1.018936163156331,1.018936163156331,0.0
Weather,24-48h,Medium,445711,0.9785899321172589,0.9785899321172588,1.1102230246251565e-16
Weather,24-48h,Large,66583,0.9663852138159343,0.9663852138159346,-2.220446049250313e-16
Weather,2d-1w,Single,2733,1.1515028972916121,1.151502897291612,2.220446049250313e-16
Weather,2d-1w,Small,9685,1.2710807511332298,1.2710807511332298,0.0
Weather,2d-1w,Medium,14751,1.1769032627898746,1.1769032627898746,0.0
Weather,2d-1w,Large,4478,1.2433899853255632,1.2433899853255632,0.0
Weather,1w-1mo,Single,9481,0.8096607535338759,0.8096607535338759,0.0
Weather,1w-1mo,Small,26958,0.8862618839006209,0.8862618839006209,0.0
Weather,1w-1mo,Medium,32972,1.0714984725872427,1.0714984725872427,0.0
Weather,1w-1mo,Large,9327,1.2818797832902415,1.2818797832902415,0.0
Weather,1mo+,Single,2410,1.159671996827274,1.1596719968272742,-2.220446049250313e-16
Weather,1mo+,Small,6761,1.3448884928741538,1.3448884928741538,0.0
Weather,1mo+,Medium,9457,1.4036745808849174,1.4036745808849174,0.0
Weather,1mo+,Large,2755,1.3652603274686477,1.3652603274686477,0.0
